step_index,time_seconds,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,position_error_norm,experiment_case_id,tcp_label,joint_1,joint_2,joint_3
0,0.0,0.106287,-0.41627,1.132398,0.0011070568559834624,-0.5937931173254252,0.9259628597297797,0.10517994314401655,0.1775231173254252,0.20643514027022036,0.291877962105913,tcp_case_2,tcp_forward_5cm,0.0018702382377941559,-0.002705780797102555,0.011927422270421238
1,0.02,0.106287,-0.41627,1.132398,0.0022152340766108413,-0.5931621176893787,0.9281341773299013,0.10407176592338917,0.17689211768937868,0.20426382267009868,0.2895608105646329,tcp_case_2,tcp_forward_5cm,0.0037404764755883117,-0.00541156159420511,0.023854844540842475
2,0.04,0.106287,-0.41627,1.132398,0.0033209757773694083,-0.5925149290706366,0.9303009445329735,0.1029660242226306,0.17624492907063666,0.2020970554670265,0.28724118262493537,tcp_case_2,tcp_forward_5cm,0.005610714713382468,-0.008117342391307666,0.035782266811263716
3,0.06,0.106287,-0.41627,1.132398,0.0044241992819297055,-0.5918516134481879,0.9324630027195216,0.1018628007180703,0.17558161344818796,0.19993499728047837,0.2849191750106389,tcp_case_2,tcp_forward_5cm,0.0074809529511766235,-0.01082312318841022,0.04770968908168495
4,0.08,0.106287,-0.41627,1.132398,0.005524822363439182,-0.5911722352875504,0.9346201940537345,0.10076217763656083,0.1749022352875504,0.19777780594626548,0.2825948847300002,tcp_case_2,tcp_forward_5cm,0.00935119118897078,-0.013528903985512776,0.05963711135210619
5,0.1,0.106287,-0.41627,1.132398,0.006622763265756235,-0.590476861526993,0.9367723615150277,0.09966423673424377,0.174206861526993,0.19562563848497228,0.28026840906452044,tcp_case_2,tcp_forward_5cm,0.011221429426764936,-0.016234684782615333,0.07156453362252743
6,0.12,0.106287,-0.41627,1.132398,0.007717940724540715,-0.5897655615631836,0.9389193489294344,0.0985690592754593,0.17349556156318363,0.1934786510705656,0.27793984555773776,tcp_case_2,tcp_forward_5cm,0.013091667664559091,-0.018940465579717885,0.08349195589294867
7,0.14,0.106287,-0.41627,1.132398,0.008810273988192103,-0.5890384072362636,0.9410610010008156,0.0974767260118079,0.17276840723626358,0.19133699899918444,0.2756092920040077,tcp_case_2,tcp_forward_5cm,0.014961905902353247,-0.02164624637682044,0.0954193781633699
8,0.16,0.106287,-0.41627,1.132398,0.009899682838629685,-0.5882954728143555,0.9431971633418833,0.09638731716137032,0.17202547281435548,0.1892008366581167,0.2732768464372723,tcp_case_2,tcp_forward_5cm,0.016832144140147404,-0.024352027173922996,0.10734680043379115
9,0.18,0.106287,-0.41627,1.132398,0.010986087611910743,-0.5875368349775054,0.9453276825050346,0.09530091238808927,0.17126683497750544,0.1870703174949654,0.2709426071198133,tcp_case_2,tcp_forward_5cm,0.01870238237794156,-0.02705780797102555,0.11927422270421238
10,0.2,0.106287,-0.41627,1.132398,0.01206940921867513,-0.5867625728010657,0.9474524060129803,0.09421759078132488,0.17049257280106572,0.1849455939870197,0.2686066725309992,tcp_case_2,tcp_forward_5cm,0.020572620615735716,-0.029763588768128107,0.13120164497463363
11,0.22,0.106287,-0.41627,1.132398,0.013149569164415805,-0.5859727677385226,0.949571182389173,0.0931374308355842,0.1697027677385226,0.18282681761082697,0.26626914135601737,tcp_case_2,tcp_forward_5cm,0.02244285885352987,-0.032469369565230666,0.14312906724505486
12,0.24,0.106287,-0.41627,1.132398,0.014226489569565572,-0.5851675036037692,0.9516838611880202,0.09206051043043444,0.16889750360376926,0.18071413881197984,0.263930112474596,tcp_case_2,tcp_forward_5cm,0.024313097091324027,-0.03517515036233322,0.1550564895154761
