experiment_case_id,target_index,reference_body_name,reference_site_name,reference_kind,target_x,target_y,target_z,final_base_x,final_base_y,final_base_z,final_flange_x,final_flange_y,final_flange_z,final_tool_x,final_tool_y,final_tool_z,final_tool_error_x,final_tool_error_y,final_tool_error_z,final_tool_error_norm,converged,ik_iterations,hold_steps,tool_label
target_1,0,Link3,,body,0.106287,-0.41627,1.132398,0.0,0.0,0.65,-3.88544837056933e-06,-0.5602280845832177,0.6894801262475002,-4.699275416962431e-06,-0.4162692927786924,1.1323975748330342,0.10629169927541697,-7.07221307572059e-07,4.2516696585614966e-07,0.10629169927862009,False,180,20,default_tool_frame
target_2,1,Link3,,body,0.186802,-0.441837,1.064071,0.0,0.0,0.65,-3.521459740312007e-06,-0.5466603819704574,0.6210514506019592,-4.590131123938103e-06,-0.4353989315988463,1.0732913091505656,0.18680659013112394,-0.006438068401153685,-0.009220309150565598,0.1871447700097111,False,180,20,default_tool_frame
target_3,2,Link3,,body,0.056339,-0.561542,0.797476,0.0,0.0,0.65,-3.521459740312007e-06,-0.5466603819704574,0.6210514506019592,-4.590131123938103e-06,-0.4353989315988463,1.0732913091505656,0.05634359013112394,-0.1261430684011537,-0.2758153091505656,0.30848137482892596,False,180,20,default_tool_frame
