Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.013222,-0.061996,-6.3001E-05,0,0,0,0.53128,0.00049655,-2.3701E-06,-6.6271E-09,0.00071825,-8.963E-07,0.00053368,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/base.STL,,电机架01_v0.1.4-1;电机固定连接件_01_v0.1.4-2;JH14-101关节模组_外发-3,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-1.0193E-09,0.10026,1.0868E-09,0,0,0,0.82362,0.00082421,3.4988E-09,-2.3198E-06,0.00061854,-9.5521E-12,0.0007323,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link1.STL,,轴01_v0.1.4-1;电机支架_v0.1.4-1;绕线轮0_v0.1.4-1;绕线轮0_v0.1.4-2;6702-ZZ(15-21-4)-1;6702-ZZ(15-21-4)-2;电机轴01_v0.1.4-1;电机轴01_v0.1.4-2;JH17-101关节模组_外发-2;JH17-101关节模组_外发-1;6816-ZZ(80-100-10)-2;6816-ZZ(80-100-10)-1,坐标系1,基准轴1,J1,revolute,0,0,0,0,0,0,base,0,1,0,0,0,0,0,,,,,,,,
Link2,0.205133426171643,0.0630524390587183,6.7794425121672E-05,0,0,0,0.341863202686449,0.00035707536556523,-0.000590941387856268,-1.12039280222591E-09,0.00209093514544576,1.44152783873687E-09,0.00239776335341057,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link2.STL,,臂01_v0.1.4-1/3D-EA28S06C-2/3D-EA28S06C.stp-1/pluger8.stp-1;臂01_v0.1.4-1/导向轴套_04_v0.1.4-4;臂01_v0.1.4-1/导向轮_01_v0.1.4-8;臂01_v0.1.4-1/导向轮轴_04_v0.1.4-1;臂01_v0.1.4-1/导向轮_01_v0.1.4-7;臂01_v0.1.4-1/导向轴套_04_v0.1.4-5;臂01_v0.1.4-1/GB／T276-94深沟球轴承619／4-8;臂01_v0.1.4-1/GB／T276-94深沟球轴承619／4-7;臂01_v0.1.4-1/镜向转接架06_v0.1.4-3;GB／T276-94深沟球轴承619／4-1;卡扣01_v0.1.4-2;卡扣01_v0.1.4-1;导向轮_01_v0.1.4-1;导向轮_01_v0.1.4-2;导向轴套_01_v0.1.4-2;导向轮轴_01_v0.1.4-1;导向轴套_01_v0.1.4-1;臂01_v0.1.4-1/碳管02_v0.1.4-1;臂01_v0.1.4-1/转接架06_v0.1.4-2;臂01_v0.1.4-1/3D-EA28S06C-2;臂01_v0.1.4-1/128ZZ(8-12-3.5)F-5;臂01_v0.1.4-1/128ZZ(8-12-3.5)F-4;臂01_v0.1.4-1/轴09_v0.1.4-1,坐标系2,基准轴2,J2,revolute,0,0.115,0,0,0,0,Link1,0,0,-1,0,0,0,0,,,,,,,,
Link3,-0.0371601272613271,-0.178830682275624,-1.72227382545102E-06,0,0,0,0.261798147051047,0.00176225273925022,-0.000536518117687669,8.40358989973044E-11,0.00023643584116646,-6.18007800317856E-09,0.00195077931752275,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_0.1.4.2/meshes/Link3.STL,,臂01_v0.1.4-1/末端轮_v0.1.4-2;臂01_v0.1.4-1/轴套01_v0.1.4-2;臂01_v0.1.4-1/转接架09_v0.1.4-2;臂01_v0.1.4-1/轴套01_v0.1.4-1;臂01_v0.1.4-1/碳管03_v0.1.4-1;臂01_v0.1.4-1/转接架08_v0.1.4-1;臂01_v0.1.4-1/转接架08_v0.1.4-2,坐标系3,基准轴3,J3,revolute,0.54666,0.14395,0,0,0,0.30128,Link2,0,0,1,0,0,0,0,,,,,,,,
