时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0.117,0,0,1.831,0.031957,-0.592947
0.118,0,0,1.831,0.031957,-0.601571
0.119,0,0,1.831,0.031957,-0.610219
0.12,0,0,1.831,0.031957,-0.618889
0.121,0,0,1.831,0.031957,-0.62758
0.122,0,0,1.831,0.031957,-0.636291
0.123,0,0,1.831,0.031957,-0.645022
0.124,0,0,1.831,0.031957,-0.65377
0.125,0,0,1.831,0.031957,-0.662535
0.126,0,0,1.831,0.031957,-0.671316
0.127,0,0,1.831,0.031957,-0.680112
0.128,0,0,1.831,0.031957,-0.688921
0.129,0,0,1.831,0.031957,-0.697742
0.13,0,0,1.831,0.031957,-0.706575
0.131,0,0,1.831,0.031957,-0.715418
0.132,0,0,1.831,0.031957,-0.724269
0.133,0,0,1.831,0.031957,-0.733129
0.134,0,0,1.831,0.031957,-0.741995
0.135,0,0,1.831,0.031957,-0.750866
0.136,0,0,1.831,0.031957,-0.759742
0.137,0,0,1.831,0.031957,-0.768622
0.138,0,0,1.831,0.031957,-0.777503
0.139,0,0,1.831,0.031957,-0.786386
0.14,0,0,1.831,0.031957,-0.795268
0.141,0,0,1.831,0.031957,-0.80415
0.142,0,0,1.831,0.031957,-0.813028
0.143,0,0,1.831,0.031957,-0.821903
0.144,0,0,1.831,0.031957,-0.830774
0.145,0,0,1.831,0.031957,-0.839639
0.146,0,0,1.831,0.031957,-0.848496
0.147,0,0,1.831,0.031957,-0.857346
0.148,0,0,1.831,0.031957,-0.866187
0.149,0,0,1.831,0.031957,-0.875017
0.15,0,0,1.831,0.031957,-0.883836
0.151,0,0,1.831,0.031957,-0.892642
0.152,0,0,1.831,0.031957,-0.901434
0.153,0,0,1.831,0.031957,-0.910212
0.154,0,0,1.831,0.031957,-0.918973
0.155,0,0,1.831,0.031957,-0.927718
0.156,0,0,1.831,0.031957,-0.936444
0.157,0,0,1.831,0.031957,-0.945151
0.158,0,0,1.831,0.031957,-0.953838
0.159,0,0,1.831,0.031957,-0.962503
0.16,0,0,1.831,0.031957,-0.971145
0.161,0,0,1.831,0.031957,-0.979764
0.162,0,0,1.831,0.031957,-0.988358
0.163,0,0,1.831,0.031957,-0.996925
0.164,0,0,1.831,0.031957,-1.00547
0.165,0,0,1.831,0.031957,-1.01398
0.166,0,0,1.831,0.031957,-1.02246
0.167,0,0,1.831,0.031957,-1.03092
0.168,0,0,1.831,0.031957,-1.03934
0.169,0,0,1.831,0.031957,-1.04773
